assessment_id,vehicle_make,vehicle make,vehicle_model,vehicle model,model_code,model code,part/service,category_id,category,part or service,service_provider,part_condition,part condition,part_type,part type,quantity,fix_type,fix type,damage_id,damage,estimated_repair_days,for_painting,paint_type,paint type,panels_to_paint,unit_price (vat incl. 16%),date
125,24,Honda,246,CR-V,2801,DBA-RE4,902,8,Services,Labour Charges,214,2,-,-,-,1,-,-,-,-,3,no,-,-,,8000,12/5/2023 13:58
125,24,Honda,246,CR-V,2801,DBA-RE4,903,8,Services,Painting Per Panel,214,2,-,-,-,1,-,-,-,-,3,no,-,-,,5500,12/5/2023 13:58
127,24,Honda,310,Stream,3190,DBA-RN6,4,1,Body,Bonnet Lid,37,1,used,1,Dealer/OEM,1,0,repair,4,Buckled,5,yes,2,Ordinary,2,20880,12/7/2023 8:34
127,24,Honda,310,Stream,3190,DBA-RN6,30,1,Body,Front Bumper,37,1,used,1,Dealer/OEM,1,0,repair,19,Crushed,5,yes,2,Ordinary,2,34800,12/7/2023 8:34
127,24,Honda,310,Stream,3190,DBA-RN6,930,1,Body,Front Bumper Support,213,1,used,1,Dealer/OEM,1,0,repair,9,Bent,5,no,-,-,,8700,12/7/2023 8:34
127,24,Honda,310,Stream,3190,DBA-RN6,21,1,Body,Front Grille,213,1,used,1,Dealer/OEM,1,0,repair,11,Broken,5,no,-,-,,17400,12/7/2023 8:34
127,24,Honda,310,Stream,3190,DBA-RN6,698,3,Electrical,RHS Headlight (Xenon),29,1,used,1,Dealer/OEM,1,0,repair,11,Broken,5,no,-,-,,20880,12/7/2023 8:34
127,24,Honda,310,Stream,3190,DBA-RN6,711,2,Engine & Chassis,Cooling Radiator,29,1,used,1,Dealer/OEM,1,0,repair,11,Broken,5,no,-,-,,17284,12/7/2023 8:34
127,24,Honda,310,Stream,3190,DBA-RN6,1029,8,Services,2k Primer,213,2,-,-,-,1,-,-,-,-,5,no,-,-,,2000,12/7/2023 8:34
127,24,Honda,310,Stream,3190,DBA-RN6,1028,8,Services,A/C Gas,213,2,-,-,-,1,-,-,-,-,5,no,-,-,,4000,12/7/2023 8:34
127,24,Honda,310,Stream,3190,DBA-RN6,1010,8,Services,Miscellaneous,213,2,-,-,-,1,-,-,-,-,5,no,-,-,,2000,12/7/2023 8:34
127,24,Honda,310,Stream,3190,DBA-RN6,902,8,Services,Labour Charges,213,2,-,-,-,1,-,-,-,-,5,no,-,-,,8000,12/7/2023 8:34
127,24,Honda,310,Stream,3190,DBA-RN6,903,8,Services,Painting Per Panel,213,2,-,-,-,1,-,-,-,-,5,no,-,-,,5000,12/7/2023 8:34
198,24,Honda,256,Fit,2848,DBA-GK3,975,1,Body,Boot Lock Garnish,224,1,used,0,Generic,1,0,repair,11,Broken,2,no,-,-,,9000,2/20/2024 8:24
198,24,Honda,256,Fit,2848,DBA-GK3,902,8,Services,Labour Charges,224,2,-,-,-,1,-,-,-,-,2,no,-,-,,5000,2/20/2024 8:24
198,24,Honda,256,Fit,2848,DBA-GK3,903,8,Services,Painting Per Panel,224,2,-,-,-,1,-,-,-,-,2,no,-,-,,5500,2/20/2024 8:24
198,24,Honda,256,Fit,2848,DBA-GK3,1010,8,Services,Miscellaneous,224,2,-,-,-,1,-,-,-,-,2,no,-,-,,1000,2/20/2024 8:24
198,24,Honda,256,Fit,2848,DBA-GK3,700,3,Electrical,LHS Tail Light,224,1,used,0,Generic,1,0,repair,19,Crushed,2,no,-,-,,17000,2/20/2024 8:24
198,24,Honda,256,Fit,2848,DBA-GK3,82,1,Body,Rear Bumper,224,2,-,-,-,1,1,replace,1,Scratched,2,yes,1,Metallic,1,0,2/20/2024 8:24
204,24,Honda,256,Fit,2826,DBA-GE6,76,1,Body,Nose Cut (Ordinary Lights),259,0,new,1,Dealer/OEM,1,0,repair,19,Crushed,10,yes,2,Ordinary,9,110000,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,1444,1,Body,Wing Liner,259,1,used,1,Dealer/OEM,2,0,repair,8,Ripped off,10,no,-,-,,3500,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,1859,1,Body,Front Bumper Slides,259,1,used,1,Dealer/OEM,2,0,repair,11,Broken,10,no,-,-,,3000,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,931,1,Body,Front Number Plate Chrome,259,1,used,1,Dealer/OEM,1,0,repair,9,Bent,10,no,-,-,,900,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,46,1,Body,LHS Front Wing,259,1,used,1,Dealer/OEM,1,0,repair,19,Crushed,10,yes,2,Ordinary,9,10000,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,927,1,Body,LHS Valance,259,1,used,1,Dealer/OEM,1,0,repair,19,Crushed,10,yes,2,Ordinary,9,14000,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,729,2,Engine & Chassis,LHS Front Shock Absober,259,1,used,1,Dealer/OEM,1,0,repair,9,Bent,10,no,-,-,,6500,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,717,2,Engine & Chassis,LHS Rack End,259,1,used,1,Dealer/OEM,1,0,repair,9,Bent,10,no,-,-,,3000,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,737,2,Engine & Chassis,LHS Front Tie Rod,259,1,used,1,Dealer/OEM,1,0,repair,9,Bent,10,no,-,-,,3000,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,721,2,Engine & Chassis,LHS Control Arm,259,1,used,1,Dealer/OEM,1,0,repair,9,Bent,10,no,-,-,,5000,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,727,2,Engine & Chassis,LHS Front Drive Shaft,259,1,used,1,Dealer/OEM,1,0,repair,9,Bent,10,no,-,-,,6500,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,1398,1,Body,LHF Knuckle With Hub,259,1,used,1,Dealer/OEM,1,0,repair,9,Bent,10,no,-,-,,8500,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,151,6,Wheels,Alloy Rim,259,1,used,1,Dealer/OEM,1,0,repair,3,Dented,10,no,-,-,,8500,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,1593,6,Wheels,LHF Tyre,259,1,used,1,Dealer/OEM,1,0,repair,2,Torn,10,no,-,-,,6500,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,1037,2,Engine & Chassis,LHS Front Stabilizer Link,259,1,used,1,Dealer/OEM,1,0,repair,9,Bent,10,no,-,-,,3000,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,1590,1,Body,LHS Lower Ball Joint,259,1,used,1,Dealer/OEM,1,0,repair,9,Bent,10,no,-,-,,3500,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,1209,3,Electrical,Alternator Belt,259,1,used,1,Dealer/OEM,1,0,repair,15,Leaking,10,no,-,-,,2500,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,899,7,Consumables,Engine Oil,259,1,used,1,Dealer/OEM,1,0,repair,3,Dented,10,no,-,-,,3000,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,822,2,Engine & Chassis,Oil Filter,259,1,used,1,Dealer/OEM,1,0,repair,3,Dented,10,no,-,-,,1000,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,925,2,Engine & Chassis,A/C Pipes,259,1,used,1,Dealer/OEM,1,0,repair,3,Dented,10,no,-,-,,3480,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,1073,2,Engine & Chassis,Exhaust Muffler,259,1,used,1,Dealer/OEM,1,0,repair,3,Dented,10,no,-,-,,10000,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,134,1,Body,RHS Front Door,259,1,used,1,Dealer/OEM,1,0,repair,3,Dented,10,no,-,-,,18000,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,137,1,Body,RHS Rear Door,259,1,used,1,Dealer/OEM,1,0,repair,3,Dented,10,yes,2,Ordinary,9,18000,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,49,1,Body,RHS Rear Wing,259,1,used,1,Dealer/OEM,1,0,repair,3,Dented,10,yes,2,Ordinary,9,35000,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,701,3,Electrical,RHS Tail Light,259,1,used,1,Dealer/OEM,1,0,repair,7,Cracked,10,no,-,-,,13000,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,944,1,Body,Right Hand Front Fixed Glass,259,1,used,1,Dealer/OEM,1,0,repair,20,Smashed,10,no,-,-,,4500,2/26/2024 7:46
